pin,slack
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:CDSEL_EN,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:CDSEL_SL_N,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[0],6330
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[10],6405
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[11],6348
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[12],6345
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[13],6368
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[14],6370
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[15],6428
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[16],6509
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[17],6501
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[18],6479
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[19],6545
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[1],6362
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[20],6724
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[21],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[22],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[23],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[24],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[25],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[26],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[27],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[28],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[29],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[2],6396
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[30],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[31],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[32],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[33],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[34],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[35],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[36],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[37],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[38],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[39],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[3],6353
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[40],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[41],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[42],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[43],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[4],6325
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[5],6306
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[6],6355
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[7],6340
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[8],6300
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C[9],6386
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_ARST_N[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_ARST_N[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_CLK[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_CLK[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_EN[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_EN[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_SRST_N[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:C_SRST_N[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:FDBKSEL,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:FDBKSEL_AL_N,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:FDBKSEL_CLK,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:FDBKSEL_EN,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:FDBKSEL_SL_N,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[10],5559
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[11],5538
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[12],5457
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[13],5437
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[14],5393
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[15],5451
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[16],5374
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[17],5440
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[18],5364
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P[20],5383
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_ARST_N[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_ARST_N[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_CLK[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_CLK[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_EN[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_EN[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_SRST_N[0],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:P_SRST_N[1],
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:SUB,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:SUB_AL_N,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:SUB_CLK,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:SUB_EN,
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/INST_MACC_IP:SUB_SL_N,
line_write_read_0/xy_display_1/RPOINTS_0/sel_10_7_2_0_wmux:A,6114
line_write_read_0/xy_display_1/RPOINTS_0/sel_10_7_2_0_wmux:B,6023
line_write_read_0/xy_display_1/RPOINTS_0/sel_10_7_2_0_wmux:C,4779
line_write_read_0/xy_display_1/RPOINTS_0/sel_10_7_2_0_wmux:D,4516
line_write_read_0/xy_display_1/RPOINTS_0/sel_10_7_2_0_wmux:FCO,
line_write_read_0/xy_display_1/RPOINTS_0/sel_10_7_2_0_wmux:Y,4516
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m65_m9_a1_1:A,2929
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m65_m9_a1_1:B,2893
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m65_m9_a1_1:C,2792
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m65_m9_a1_1:D,2704
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m65_m9_a1_1:Y,2704
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C7/CFG_13:C,8554
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C7/CFG_13:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C7/CFG_13:IPC,8554
line_write_read_0/xy_generator_0/index_drifter[7]:ALn,
line_write_read_0/xy_generator_0/index_drifter[7]:CLK,3705
line_write_read_0/xy_generator_0/index_drifter[7]:D,7709
line_write_read_0/xy_generator_0/index_drifter[7]:EN,4740
line_write_read_0/xy_generator_0/index_drifter[7]:Q,3705
line_write_read_0/xy_display_1/WPOINTS_0/x_1_sqmuxa_i_o10:A,2413
line_write_read_0/xy_display_1/WPOINTS_0/x_1_sqmuxa_i_o10:B,2372
line_write_read_0/xy_display_1/WPOINTS_0/x_1_sqmuxa_i_o10:Y,2372
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_34:IPB,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_24:IPA,
line_write_read_0/xy_display_1/WPOINTS_0/un1_buf8bits28_0_a2_1:A,3570
line_write_read_0/xy_display_1/WPOINTS_0/un1_buf8bits28_0_a2_1:B,3385
line_write_read_0/xy_display_1/WPOINTS_0/un1_buf8bits28_0_a2_1:C,3259
line_write_read_0/xy_display_1/WPOINTS_0/un1_buf8bits28_0_a2_1:D,3100
line_write_read_0/xy_display_1/WPOINTS_0/un1_buf8bits28_0_a2_1:Y,3100
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m42_m2_e:A,6683
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m42_m2_e:B,6641
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m42_m2_e:C,6534
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m42_m2_e:Y,6534
apb3_if_0/cs_o_1_sqmuxa_0_a2:A,6469
apb3_if_0/cs_o_1_sqmuxa_0_a2:B,3977
apb3_if_0/cs_o_1_sqmuxa_0_a2:C,6379
apb3_if_0/cs_o_1_sqmuxa_0_a2:D,6242
apb3_if_0/cs_o_1_sqmuxa_0_a2:Y,3977
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[4]:ALn,
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[4]:CLK,8946
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[4]:D,7749
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[4]:Q,8946
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C3/FF_32:IPENn,
led_blink_0/un6_counter_1_cry_6:B,6630
led_blink_0/un6_counter_1_cry_6:FCI,6528
led_blink_0/un6_counter_1_cry_6:FCO,6528
led_blink_0/un6_counter_1_cry_6:S,7707
line_write_read_0/xy_generator_0/x[3]:CLK,8856
line_write_read_0/xy_generator_0/x[3]:D,1793
line_write_read_0/xy_generator_0/x[3]:Q,8856
UART_interface_0/receive_data_0/state[4]:ALn,6376
UART_interface_0/receive_data_0/state[4]:CLK,6957
UART_interface_0/receive_data_0/state[4]:D,8850
UART_interface_0/receive_data_0/state[4]:EN,8609
UART_interface_0/receive_data_0/state[4]:Q,6957
line_write_read_0/mux_1/mux6_0/O[2]:A,7701
line_write_read_0/mux_1/mux6_0/O[2]:B,7722
line_write_read_0/mux_1/mux6_0/O[2]:Y,7701
apb3_if_0/lcd_rd_o_0_sqmuxa_0_a2:A,6469
apb3_if_0/lcd_rd_o_0_sqmuxa_0_a2:B,3977
apb3_if_0/lcd_rd_o_0_sqmuxa_0_a2:C,6379
apb3_if_0/lcd_rd_o_0_sqmuxa_0_a2:D,6284
apb3_if_0/lcd_rd_o_0_sqmuxa_0_a2:Y,3977
line_write_read_0/WRITE_LSRAM_0/s_ram_address_RNIDJM42[1]:B,6580
line_write_read_0/WRITE_LSRAM_0/s_ram_address_RNIDJM42[1]:C,7632
line_write_read_0/WRITE_LSRAM_0/s_ram_address_RNIDJM42[1]:FCI,6564
line_write_read_0/WRITE_LSRAM_0/s_ram_address_RNIDJM42[1]:FCO,6564
line_write_read_0/WRITE_LSRAM_0/s_ram_address_RNIDJM42[1]:S,6677
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C1/CFG_33:C,8738
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C1/CFG_33:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C1/CFG_33:IPC,8738
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C4/FF_31:IPENn,
line_write_read_0/xy_generator_0/x[8]:CLK,8856
line_write_read_0/xy_generator_0/x[8]:D,1793
line_write_read_0/xy_generator_0/x[8]:Q,8856
line_write_read_0/xy_display_1/WPOINTS_0/index_base[6]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/index_base[6]:CLK,7665
line_write_read_0/xy_display_1/WPOINTS_0/index_base[6]:D,8836
line_write_read_0/xy_display_1/WPOINTS_0/index_base[6]:EN,5244
line_write_read_0/xy_display_1/WPOINTS_0/index_base[6]:Q,7665
line_write_read_0/LCD_FSM_0/un1_s_state_16_i_0:A,6594
line_write_read_0/LCD_FSM_0/un1_s_state_16_i_0:B,6542
line_write_read_0/LCD_FSM_0/un1_s_state_16_i_0:C,6485
line_write_read_0/LCD_FSM_0/un1_s_state_16_i_0:D,4527
line_write_read_0/LCD_FSM_0/un1_s_state_16_i_0:Y,4527
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m192_m8:A,5706
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m192_m8:B,2038
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m192_m8:C,5656
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m192_m8:Y,2038
line_write_read_0/xy_display_1/WPOINTS_0/un1_y_mulonly_0[20_8]/U0/CFG_19:IPB,
line_write_read_0/xy_display_1/WPOINTS_0/un1_y_mulonly_0[20_8]/U0/CFG_19:IPC,
line_write_read_0/xy_display_1/WPOINTS_0/un1_y_mulonly_0[20_8]/U0/CFG_19:IPD,
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX_RNIMP765[9]:B,6377
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX_RNIMP765[9]:C,7578
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX_RNIMP765[9]:FCI,6233
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX_RNIMP765[9]:FCO,6233
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX_RNIMP765[9]:S,6361
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:A,5969
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:B,5920
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:C,5845
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:D,5751
UART_interface_0/receive_data_0/state_ns_0_a2_10[0]:Y,5751
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C3/CFG_27:C,8644
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C3/CFG_27:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C3/CFG_27:IPC,8644
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_17:B,5149
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_17:C,5406
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_17:D,7393
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_17:FCI,4894
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_17:FCO,4894
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_17:S,4939
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/CFG_6:C,8268
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/CFG_6:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/CFG_6:IPC,8268
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_1:C,8272
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_1:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_1:IPC,8272
UART_interface_0/receive_data_0/s_addr[5]:ALn,6376
UART_interface_0/receive_data_0/s_addr[5]:CLK,5657
UART_interface_0/receive_data_0/s_addr[5]:D,8836
UART_interface_0/receive_data_0/s_addr[5]:EN,7568
UART_interface_0/receive_data_0/s_addr[5]:Q,5657
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_33:IPB,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_33:IPC,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_33:IPD,
line_write_read_0/xy_display_1/xy_fifo_control_0/y_dly[0]:ALn,
line_write_read_0/xy_display_1/xy_fifo_control_0/y_dly[0]:CLK,7912
line_write_read_0/xy_display_1/xy_fifo_control_0/y_dly[0]:D,8856
line_write_read_0/xy_display_1/xy_fifo_control_0/y_dly[0]:Q,7912
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o92lto7_d:A,2002
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o92lto7_d:B,2072
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o92lto7_d:C,2970
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o92lto7_d:Y,2002
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/REN_d1:CLK,7775
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/REN_d1:D,7800
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/REN_d1:Q,7775
line_write_read_0/LCD_FSM_0/s_ram_address[0]:ALn,
line_write_read_0/LCD_FSM_0/s_ram_address[0]:CLK,2421
line_write_read_0/LCD_FSM_0/s_ram_address[0]:D,4557
line_write_read_0/LCD_FSM_0/s_ram_address[0]:EN,4499
line_write_read_0/LCD_FSM_0/s_ram_address[0]:Q,2421
line_write_read_0/xy_display_1/WPOINTS_0/index_base[9]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/index_base[9]:CLK,7713
line_write_read_0/xy_display_1/WPOINTS_0/index_base[9]:D,8836
line_write_read_0/xy_display_1/WPOINTS_0/index_base[9]:EN,5244
line_write_read_0/xy_display_1/WPOINTS_0/index_base[9]:Q,7713
FlashFreeze_SB_0/BIBUF_1/U0/U_IOENFF:A,
FlashFreeze_SB_0/BIBUF_1/U0/U_IOENFF:Y,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C2/CFG_8:C,8282
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C2/CFG_8:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C2/CFG_8:IPC,8282
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[3]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[3]:CLK,8268
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[3]:D,1663
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[3]:EN,2372
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[3]:Q,8268
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_15:B,6428
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_15:C,5464
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_15:IPB,6428
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_15:IPC,5464
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPB,
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[0]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[0]:CLK,8644
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[0]:D,3534
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[0]:EN,2401
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[0]:Q,8644
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C3/CFG_17:C,8701
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C3/CFG_17:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C3/CFG_17:IPC,8701
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[5]:ALn,6376
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[5]:CLK,7906
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[5]:D,6937
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[5]:EN,6443
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0Il[5]:Q,7906
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C3/FF_7:IPENn,
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[6]:A,7878
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[6]:B,7912
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[6]:C,7749
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[6]:Y,7749
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_57:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_57:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C6/FF_0:CLK,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C6/FF_0:IPCLKn,
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index_cry[16]:B,7748
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index_cry[16]:C,4131
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index_cry[16]:FCI,3923
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index_cry[16]:FCO,3923
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index_cry[16]:S,3971
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_27:IPB,
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_27:IPC,
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv[3]:A,4895
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv[3]:B,3713
